Name,Type,City,Phone,Has Website,Contact Note
"Penske Truck Leasing","Moving","Jacksonville, FL","904-555-2843","Unknown",""
"Local Movers LLC","Moving","Columbus, OH","614-555-2876","Unknown",""
"Pro Move Services","Moving","Indianapolis, IN","317-555-2909","Unknown",""
"Elite Moving Co","Moving","Fort Worth, TX","817-555-2942","Unknown",""
"Quick Move Pros","Moving","Charlotte, NC","704-555-2975","Unknown",""
"Safe & Sound Movers","Moving","Salt Lake City, UT","801-555-3008","Unknown",""
"HomeFix Handyman Services","Handyman","New York, NY","212-555-3041","Unknown",""
"Mr. Handyman Pro","Handyman","Los Angeles, CA","310-555-3074","Unknown",""
"Quick Handyman LLC","Handyman","Chicago, IL","312-555-3107","Unknown",""
"Pro Painters Inc","Painting","Houston, TX","713-555-3140","Unknown",""
"Elite Painting Services","Painting","Phoenix, AZ","602-555-3173","Unknown",""
"Color Craft Painters","Painting","Denver, CO","303-555-3206","Unknown",""
"Terminator Pest Control","Pest Control","Miami, FL","305-555-3239","Unknown",""
"Eco Pest Solutions","Pest Control","Seattle, WA","206-555-3272","Unknown",""
"Bug Be Gone Pros","Pest Control","Atlanta, GA","404-555-3305","Unknown",""
"Pool Masters Inc","Pool Service","Phoenix, AZ","602-555-3338","Unknown",""
